"","Total.VolumeA","Speed_KM","OccupancyA"
"586",870,108,-1
"587",816,109,-1
"588",906,106,-1
"589",762,111,-1
"590",1098,108,-1
"591",912,111,-1
"592",624,111,-1
"593",1152,113,-1
"594",1068,108,-1
"595",762,116,-1
"596",924,113,-1
"597",846,113,-1
"598",1050,109,-1
"599",846,108,-1
"600",906,113,-1
"601",1116,111,-1
"602",966,109,-1
"603",762,114,-1
"604",822,109,-1
"605",906,113,-1
"606",1032,111,-1
"607",1020,113,-1
"608",1086,111,-1
"609",918,109,-1
"610",918,108,-1
"611",972,111,-1
"612",924,116,-1
"613",756,109,-1
"614",1164,109,-1
"615",1212,111,-1
"616",1230,113,-1
"617",1062,111,-1
"618",1080,114,-1
"619",882,113,-1
"620",750,113,-1
"621",906,111,-1
"622",1008,114,-1
"623",894,111,-1
"624",756,111,-1
"625",1098,111,-1
"626",900,113,-1
"627",858,111,-1
"628",948,109,-1
"629",1260,109,-1
"630",840,109,-1
"631",804,113,-1
"632",1122,111,-1
"633",504,114,-1
"634",1086,111,-1
"635",582,111,-1
"636",1080,111,-1
"637",954,108,-1
"638",948,111,-1
"639",840,108,-1
"640",954,109,-1
"641",1038,111,-1
"642",912,109,-1
"643",744,114,-1
"644",1062,113,-1
"645",876,111,-1
"646",888,111,-1
"647",858,113,-1
"648",780,108,-1
"649",822,111,-1
"650",984,108,-1
"651",942,108,-1
"652",768,108,-1
"653",900,111,-1
"654",756,113,-1
"655",666,114,-1
"656",798,113,-1
"657",750,111,-1
"658",966,113,-1
"659",762,114,-1
"660",792,109,-1
"661",648,108,-1
"662",942,113,-1
"663",954,114,-1
"664",906,114,-1
"665",870,113,-1
"666",930,114,-1
"667",780,109,-1
"668",894,111,-1
"669",822,109,-1
"670",798,109,-1
"671",930,114,-1
"672",966,113,-1
"673",834,113,-1
"674",822,109,-1
"675",834,109,-1
"676",876,111,-1
"677",948,109,-1
"678",654,106,-1
"679",762,109,-1
"680",750,111,-1
"681",738,113,-1
"682",558,111,-1
"683",720,111,-1
"684",708,111,-1
"685",672,111,-1
"686",534,113,-1
"687",540,106,-1
"688",708,109,-1
"689",600,108,-1
"690",648,108,-1
"691",666,109,-1
"692",564,109,-1
"693",126,90,-1
"694",174,68,-1
"695",168,98,-1
"696",294,100,-1
"697",324,105,-1
"698",300,98,-1
"699",294,103,-1
"700",330,103,-1
"701",348,106,-1
"702",270,111,-1
"703",306,109,-1
"704",216,88,-1
"705",276,109,-1
"706",342,108,-1
"707",348,100,-1
"708",258,105,-1
"709",252,113,-1
"710",336,109,-1
"711",282,108,-1
"712",360,106,-1
"713",318,106,-1
"714",378,105,-1
"715",396,103,-1
"716",300,111,-1
"717",264,98,-1
"718",336,105,-1
"719",264,101,-1
"720",234,108,-1
"721",534,108,-1
"722",414,113,-1
"723",330,111,-1
"724",588,108,-1
"725",678,108,-1
"726",618,108,-1
"727",528,106,-1
"728",630,111,-1
"729",636,106,-1
"730",522,108,-1
"731",690,106,-1
"732",720,106,-1
"733",714,108,-1
"734",534,109,-1
"735",648,109,-1
"736",648,111,-1
"737",834,111,-1
"738",678,111,-1
"739",702,113,-1
"740",654,103,-1
"741",852,101,-1
"742",828,101,-1
"743",972,106,-1
"744",1014,106,-1
"745",888,103,-1
"746",828,106,-1
"747",912,106,-1
"748",990,109,-1
"749",1074,106,-1
"750",732,106,-1
"751",924,108,-1
"752",660,106,-1
"753",894,105,-1
"754",738,103,-1
"755",516,108,-1
"756",660,106,-1
"757",918,106,-1
"758",636,106,-1
"759",882,105,-1
"760",642,108,-1
"761",888,106,-1
"762",1032,105,-1
"763",780,105,-1
"764",780,105,-1
"765",942,108,-1
"766",798,106,-1
"767",798,100,-1
"768",1014,105,-1
"769",816,105,-1
"770",960,106,-1
"771",900,108,-1
"772",990,105,-1
"773",702,103,-1
"774",690,108,-1
"775",720,106,-1
"776",780,105,-1
"777",606,109,-1
"778",774,108,-1
"779",822,105,-1
"780",588,108,-1
"781",810,106,-1
"782",738,106,-1
"783",798,106,-1
"784",690,106,-1
"785",960,109,-1
"786",822,106,-1
"787",720,108,-1
"788",534,106,-1
"789",900,108,-1
"790",870,106,-1
"791",906,106,-1
"792",840,108,-1
"793",912,108,-1
"794",912,108,-1
"795",960,103,-1
"796",900,106,-1
"797",996,103,-1
"798",792,109,-1
"799",846,100,-1
"800",846,106,-1
"801",720,108,-1
"802",942,106,-1
"803",900,109,-1
"804",888,108,-1
"805",984,106,-1
"806",1008,106,-1
"807",1140,106,-1
"808",1092,109,-1
"809",1128,108,-1
"810",1110,106,-1
"811",852,106,-1
"812",960,109,-1
"813",954,106,-1
"814",792,109,-1
"815",828,106,-1
"816",840,108,-1
"817",594,108,-1
"818",918,109,-1
"819",924,105,-1
"820",972,109,-1
"821",1200,109,-1
"822",1224,111,-1
"823",1032,113,-1
"824",678,108,-1
"825",1164,106,-1
"826",870,109,-1
"827",1116,109,-1
"828",1164,111,-1
